# Simulation 1 (Up to date)
# 795 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27.8 m/s):  "Iris Ultra Parachute [Cd 2.2 (10.9 oz) 60.0 in^3]"
#
# Time (s),Altitude (m),Vertical velocity (m/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
12.271,1342.226,70.321
12.321,1345.729,69.76
12.371,1349.203,69.202
12.421,1352.649,68.645
12.471,1356.067,68.09
12.521,1359.458,67.537
12.571,1362.821,66.986
12.621,1366.156,66.436
12.671,1369.465,65.888
12.721,1372.745,65.341
12.771,1375.999,64.796
12.821,1379.225,64.251
12.871,1382.424,63.707
12.921,1385.595,63.163
12.971,1388.74,62.62
13.021,1391.857,62.077
13.071,1394.948,61.535
13.121,1398.011,60.992
13.171,1401.047,60.451
13.221,1404.056,59.91
13.271,1407.038,59.369
13.321,1409.993,58.829
13.371,1412.921,58.289
13.421,1415.822,57.75
13.471,1418.696,57.211
13.521,1421.543,56.673
13.571,1424.363,56.136
13.621,1427.157,55.6
13.671,1429.923,55.066
13.721,1432.663,54.532
13.771,1435.376,54
13.821,1438.063,53.469
13.871,1440.723,52.939
13.921,1443.357,52.411
13.971,1445.965,51.884
14.021,1448.546,51.358
14.071,1451.1,50.832
14.121,1453.629,50.309
14.171,1456.131,49.786
14.221,1458.607,49.265
14.271,1461.058,48.744
14.321,1463.482,48.224
14.371,1465.88,47.705
14.421,1468.252,47.186
14.471,1470.599,46.669
14.521,1472.919,46.152
14.571,1475.214,45.636
14.621,1477.483,45.12
14.671,1479.726,44.605
14.721,1481.943,44.09
14.771,1484.135,43.576
14.821,1486.301,43.062
14.871,1488.441,42.548
14.921,1490.556,42.035
14.971,1492.645,41.522
15.021,1494.708,41.009
15.071,1496.746,40.496
15.121,1498.758,39.984
15.171,1500.744,39.471
15.221,1502.705,38.959
15.271,1504.64,38.448
15.321,1506.549,37.937
15.371,1508.434,37.426
15.421,1510.292,36.916
15.471,1512.125,36.407
15.521,1513.933,35.898
15.571,1515.715,35.389
15.621,1517.472,34.881
15.671,1519.203,34.374
15.721,1520.909,33.867
15.771,1522.59,33.36
15.821,1524.245,32.854
15.871,1525.875,32.348
15.921,1527.48,31.842
15.971,1529.059,31.337
16.021,1530.614,30.833
16.071,1532.143,30.329
16.121,1533.647,29.826
16.171,1535.125,29.324
16.221,1536.579,28.823
16.271,1538.008,28.322
16.321,1539.411,27.823
16.371,1540.79,27.324
16.421,1542.144,26.826
16.471,1543.472,26.328
16.521,1544.776,25.831
16.571,1546.056,25.334
16.621,1547.31,24.838
16.671,1548.539,24.343
16.721,1549.744,23.847
16.771,1550.924,23.352
16.821,1552.079,22.858
16.871,1553.21,22.364
16.921,1554.316,21.87
16.971,1555.397,21.377
17.021,1556.453,20.884
17.071,1557.485,20.392
17.121,1558.493,19.9
17.171,1559.475,19.409
17.221,1560.433,18.917
17.271,1561.367,18.427
17.321,1562.276,17.936
17.371,1563.161,17.446
17.421,1564.021,16.957
17.471,1564.856,16.467
17.521,1565.667,15.978
17.571,1566.454,15.49
17.621,1567.216,15.002
17.671,1567.954,14.514
17.721,1568.668,14.027
17.771,1569.357,13.539
17.821,1570.022,13.053
17.871,1570.662,12.567
17.921,1571.279,12.081
17.971,1571.87,11.596
18.021,1572.438,11.11
18.071,1572.981,10.625
18.121,1573.501,10.14
18.171,1573.995,9.656
18.221,1574.466,9.172
18.271,1574.913,8.689
18.321,1575.335,8.207
18.371,1575.733,7.726
18.421,1576.108,7.245
18.471,1576.458,6.765
18.521,1576.784,6.287
18.571,1577.087,5.809
18.621,1577.365,5.332
18.671,1577.62,4.856
18.721,1577.851,4.38
18.771,1578.058,3.905
18.821,1578.241,3.431
18.871,1578.401,2.959
# Event TUMBLE occurred at t=18.921 seconds
18.921,1578.537,2.487
19.02,1578.735,1.491
19.12,1578.835,0.495
# Event APOGEE occurred at t=19.171 seconds
19.171,1578.847,0
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=19.172 seconds
19.272,1578.796,-0.996
19.375,1578.643,-1.991
19.479,1578.384,-2.986
19.584,1578.018,-3.981
19.69,1577.542,-4.976
19.798,1576.952,-5.971
19.908,1576.245,-6.965
20.019,1575.415,-7.958
20.132,1574.457,-8.951
20.248,1573.363,-9.942
20.367,1572.126,-10.933
20.488,1570.733,-11.921
20.614,1569.174,-12.908
20.744,1567.435,-13.893
20.878,1565.498,-14.876
21.018,1563.345,-15.857
21.165,1560.951,-16.839
21.319,1558.281,-17.816
21.482,1555.295,-18.791
21.656,1551.946,-19.761
21.842,1548.17,-20.726
22.044,1543.888,-21.681
22.265,1538.994,-22.629
22.509,1533.356,-23.559
22.784,1526.771,-24.476
23.098,1518.927,-25.379
23.469,1509.342,-26.262
23.928,1497.112,-27.125
24.428,1483.378,-27.81
24.928,1469.355,-28.28
25.428,1455.135,-28.603
25.928,1440.78,-28.817
26.428,1426.336,-28.958
26.928,1411.835,-29.048
27.428,1397.297,-29.101
27.928,1382.739,-29.131
28.428,1368.17,-29.144
28.928,1353.597,-29.149
29.428,1339.024,-29.144
29.928,1324.454,-29.134
30.428,1309.891,-29.12
30.928,1295.335,-29.103
31.428,1280.788,-29.086
31.928,1266.25,-29.067
32.428,1251.721,-29.048
32.928,1237.202,-29.028
33.428,1222.693,-29.008
33.928,1208.194,-28.988
34.428,1193.705,-28.967
34.928,1179.227,-28.947
35.428,1164.759,-28.926
35.928,1150.3,-28.906
36.428,1135.853,-28.885
36.928,1121.415,-28.865
37.428,1106.988,-28.845
37.928,1092.57,-28.825
38.428,1078.163,-28.804
38.928,1063.766,-28.784
39.428,1049.379,-28.765
39.928,1035.001,-28.745
40.428,1020.634,-28.725
40.928,1006.277,-28.705
41.428,991.929,-28.685
41.928,977.592,-28.665
42.428,963.264,-28.645
42.928,948.947,-28.625
43.428,934.639,-28.604
43.928,920.342,-28.584
44.428,906.055,-28.564
44.928,891.779,-28.543
45.428,877.512,-28.523
45.928,863.256,-28.502
46.428,849.01,-28.482
46.928,834.774,-28.462
47.428,820.548,-28.442
47.928,806.332,-28.422
48.428,792.126,-28.401
48.928,777.931,-28.382
49.428,763.745,-28.362
49.928,749.569,-28.342
50.428,735.403,-28.323
50.928,721.246,-28.303
51.428,707.1,-28.283
51.928,692.963,-28.264
52.428,678.836,-28.244
52.928,664.719,-28.225
53.428,650.611,-28.205
53.928,636.513,-28.186
54.428,622.425,-28.167
54.928,608.346,-28.148
55.428,594.277,-28.129
55.928,580.217,-28.11
56.428,566.166,-28.091
56.928,552.125,-28.072
57.428,538.094,-28.054
57.928,524.072,-28.035
58.428,510.059,-28.016
58.928,496.055,-27.998
59.428,482.061,-27.979
59.928,468.076,-27.96
60.428,454.101,-27.941
60.928,440.135,-27.921
61.428,426.179,-27.902
61.928,412.233,-27.883
62.428,398.296,-27.864
62.928,384.369,-27.845
63.428,370.451,-27.826
63.928,356.543,-27.807
64.428,342.645,-27.788
64.928,328.756,-27.769
65.428,314.876,-27.75
65.928,301.006,-27.731
# Event SIM_WARN occurred at t=65.929 seconds: Recovery device deployment at high speed (27.8 m/s):  "Iris Ultra Parachute [Cd 2.2 (10.9 oz) 60.0 in^3]"
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=65.929 seconds
65.929,300.978,-27.731
65.935,300.802,-26.731
65.942,300.619,-25.731
65.95,300.428,-24.731
65.958,300.229,-23.731
65.967,300.019,-22.731
65.977,299.799,-21.731
65.988,299.567,-20.731
66,299.321,-19.731
66.013,299.06,-18.731
66.029,298.781,-17.731
66.046,298.482,-16.731
66.066,298.159,-15.731
66.089,297.807,-14.731
66.116,297.42,-13.731
66.149,296.988,-12.731
66.189,296.498,-11.731
66.24,295.928,-10.731
66.307,295.242,-9.732
66.402,294.365,-8.732
66.554,293.112,-7.733
66.856,290.919,-6.818
67.197,288.599,-6.756
67.542,286.27,-6.749
67.887,283.94,-6.754
68.232,281.611,-6.753
68.577,279.283,-6.752
68.922,276.955,-6.75
69.267,274.629,-6.746
69.611,272.301,-6.749
69.956,269.975,-6.749
70.301,267.649,-6.749
70.645,265.324,-6.748
70.99,263,-6.747
71.334,260.676,-6.744
71.679,258.352,-6.745
72.179,254.98,-6.745
72.523,252.658,-6.742
72.868,250.336,-6.743
73.212,248.015,-6.742
73.556,245.694,-6.741
73.9,243.374,-6.74
74.4,240.004,-6.74
74.744,237.685,-6.739
75.088,235.367,-6.737
75.433,233.049,-6.737
75.776,230.732,-6.737
76.12,228.415,-6.735
76.464,226.099,-6.734
76.964,222.732,-6.734
77.308,220.417,-6.733
77.652,218.103,-6.73
77.996,215.788,-6.732
78.339,213.475,-6.731
78.683,211.162,-6.73
79.027,208.849,-6.729
79.37,206.538,-6.727
79.714,204.226,-6.727
80.057,201.916,-6.722
80.401,199.605,-6.726
80.745,197.295,-6.726
81.088,194.985,-6.724
81.431,192.676,-6.724
81.775,190.369,-6.719
82.118,188.06,-6.72
82.462,185.753,-6.721
82.805,183.446,-6.718
83.148,181.139,-6.721
83.491,178.834,-6.72
83.834,176.528,-6.718
84.178,174.224,-6.713
84.521,171.919,-6.716
84.864,169.616,-6.715
85.207,167.312,-6.716
85.55,165.01,-6.709
85.893,162.708,-6.708
86.236,160.405,-6.713
86.579,158.104,-6.713
86.922,155.803,-6.711
87.265,153.503,-6.712
87.607,151.203,-6.711
87.95,148.904,-6.71
88.292,146.605,-6.709
88.635,144.307,-6.709
88.978,142.01,-6.704
89.32,139.712,-6.707
89.663,137.415,-6.706
90.005,135.119,-6.706
90.347,132.823,-6.705
90.69,130.528,-6.704
91.032,128.233,-6.704
91.374,125.939,-6.702
91.717,123.645,-6.701
92.059,121.352,-6.7
92.401,119.059,-6.701
92.743,116.767,-6.7
93.085,114.476,-6.695
93.428,112.185,-6.695
93.77,109.893,-6.696
94.112,107.603,-6.696
94.454,105.313,-6.696
94.796,103.024,-6.694
95.138,100.735,-6.695
95.48,98.447,-6.694
95.821,96.159,-6.694
96.163,93.872,-6.693
96.505,91.585,-6.691
96.846,89.299,-6.691
97.188,87.013,-6.691
97.53,84.728,-6.688
97.871,82.443,-6.687
98.213,80.158,-6.689
98.554,77.875,-6.685
98.896,75.591,-6.687
99.237,73.308,-6.686
99.579,71.026,-6.686
99.92,68.744,-6.684
100.261,66.462,-6.684
100.603,64.182,-6.681
100.944,61.901,-6.682
101.285,59.622,-6.679
101.627,57.342,-6.68
101.968,55.063,-6.681
102.309,52.784,-6.68
102.65,50.506,-6.679
102.991,48.229,-6.677
103.332,45.952,-6.677
103.673,43.676,-6.676
104.014,41.399,-6.676
104.355,39.124,-6.674
104.695,36.849,-6.672
105.036,34.575,-6.672
105.377,32.3,-6.673
105.718,30.027,-6.671
106.218,26.692,-6.671
106.559,24.419,-6.671
106.899,22.147,-6.67
107.24,19.876,-6.67
107.58,17.605,-6.667
107.921,15.334,-6.668
108.261,13.064,-6.668
108.602,10.795,-6.667
108.942,8.526,-6.666
109.283,6.257,-6.665
109.623,3.989,-6.665
109.963,1.721,-6.663
# Event GROUND_HIT occurred at t=110.221 seconds
# Event SIMULATION_END occurred at t=110.221 seconds
110.221,0,-6.663
