Temperature (F)	Pressure (psia)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, F/psia)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, F/psia)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
78.000	829.87	16.760	0.059666	9.8242	10.166	41.026	41.728	177.57	345.36	0.019747	60.985	0.075301	0.0012491	4.3808	0.22827	15.231	16.537	62.356	44.888	187.45	193.28	0.14206	19.101	0.032274
79.000	840.11	16.636	0.060110	9.8970	10.245	41.278	41.831	183.40	339.51	0.020545	60.219	0.074828	0.0011723	4.4765	0.22339	15.195	16.489	62.143	45.093	195.97	192.74	0.14083	19.248	0.032988
80.000	850.46	16.509	0.060574	9.9712	10.326	41.534	41.941	189.91	333.55	0.021395	59.441	0.074370	0.0010963	4.5763	0.21852	15.158	16.439	61.923	45.305	205.46	192.20	0.13955	19.402	0.033755
81.000	860.92	16.377	0.061062	10.047	10.409	41.796	42.060	197.20	327.49	0.022301	58.649	0.073933	0.0010212	4.6805	0.21365	15.118	16.386	61.694	45.524	216.10	191.65	0.13823	19.562	0.034583
82.000	871.48	16.240	0.061575	10.124	10.494	42.063	42.187	205.44	321.31	0.023270	57.841	0.073521	0.00094697	4.7895	0.20879	15.076	16.330	61.458	45.750	228.12	191.10	0.13685	19.732	0.035481
83.000	882.15	16.098	0.062118	10.203	10.581	42.337	42.326	214.82	315.00	0.024310	57.016	0.073138	0.00087374	4.9040	0.20391	15.031	16.271	61.211	45.985	241.79	190.53	0.13542	19.910	0.036458
84.000	892.93	15.951	0.062693	10.285	10.671	42.619	42.476	225.61	308.56	0.025428	56.171	0.072794	0.00080155	5.0246	0.19902	14.983	16.209	60.954	46.229	257.51	189.95	0.13392	20.099	0.037529
85.000	903.82	15.796	0.063306	10.368	10.763	42.908	42.639	238.15	301.96	0.026636	55.304	0.072498	0.00073043	5.1520	0.19410	14.933	16.142	60.685	46.483	275.75	189.36	0.13234	20.299	0.038710
86.000	914.83	15.634	0.063962	10.455	10.858	43.207	42.818	252.92	295.20	0.027946	54.410	0.072265	0.00066048	5.2871	0.18914	14.878	16.071	60.402	46.748	297.19	188.76	0.13067	20.513	0.040022
87.000	925.96	15.463	0.064669	10.544	10.957	43.517	43.015	270.57	288.26	0.029374	53.486	0.072114	0.00059175	5.4312	0.18412	14.819	15.995	60.103	47.026	322.74	188.14	0.12890	20.744	0.041493
88.000	937.21	15.282	0.065436	10.638	11.060	43.839	43.233	292.05	281.11	0.030938	52.526	0.072070	0.00052436	5.5856	0.17903	14.755	15.912	59.785	47.319	353.74	187.52	0.12702	20.992	0.043161
89.000	948.58	15.089	0.066274	10.735	11.168	44.177	43.477	318.76	273.73	0.032663	51.523	0.072171	0.00045841	5.7524	0.17384	14.686	15.822	59.445	47.627	392.14	186.87	0.12499	21.264	0.045078
90.000	960.08	14.881	0.067202	10.838	11.283	44.534	43.751	352.90	266.08	0.034580	50.467	0.072472	0.00039402	5.9342	0.16852	14.609	15.724	59.079	47.954	440.95	186.21	0.12279	21.563	0.047316
91.000	971.72	14.654	0.068241	10.947	11.404	44.914	44.064	398.06	258.13	0.036732	49.346	0.073050	0.00033138	6.1344	0.16302	14.524	15.616	58.680	48.303	505.09	185.53	0.12039	21.897	0.049988
92.000	983.49	14.404	0.069427	11.065	11.536	45.325	44.426	460.59	249.81	0.039175	48.140	0.074031	0.00027069	6.3582	0.15728	14.427	15.494	58.239	48.679	593.13	184.83	0.11772	22.276	0.053270
93.000	995.41	14.121	0.070815	11.194	11.680	45.777	44.855	552.83	241.04	0.041997	46.819	0.075621	0.00021224	6.6137	0.15120	14.316	15.354	57.743	49.085	721.52	184.10	0.11471	22.718	0.057466
94.000	1007.5	13.794	0.072497	11.339	11.843	46.288	45.376	702.17	231.68	0.045331	45.335	0.078214	0.00015642	6.9142	0.14463	14.185	15.189	57.167	49.531	926.16	183.34	0.11120	23.249	0.060991
95.000	1019.7	13.394	0.074658	11.511	12.035	46.893	46.041	983.39	221.50	0.049420	43.594	0.082716	0.00010382	7.2855	0.13726	14.021	14.986	56.468	50.027	1303.1	182.54	0.10695	23.925	0.062968
96.000	1032.1	12.861	0.077754	11.730	12.284	47.676	46.964	1693.0	210.00	0.054800	41.376	0.092080	5.5507e-05	7.7887	0.12839	13.799	14.712	55.544	50.588	2221.1	181.71	0.10135	24.882	0.065748
97.000	1044.8	11.943	0.083730	12.092	12.696	48.987	48.559	6036.4	195.59	0.063480	37.823	0.097696	1.3966e-05	8.6698	0.11534	13.413	14.244	53.992	51.194	7435.9	180.99	0.092146	26.686	0.070922
